==================================NEW_WEEK====================================
Mika Zibanejad
Anders Lee
Dougie Hamilton
Alex Tuch
Ryan Getzlaf
Teuvo Teravainen
Cam Fowler
Nino Niederreiter
Ilya Mikheyev
Brent Burns
Evan Rodrigues
Chandler Stephenson
Andrew Copp
Kevin Hayes
James van Riemsdyk
Andrew Ladd
Janis Moser
Nils Hoglander
Seth Jarvis
Bo Horvat
Elias Lindholm
Nick Cousins
Ryan Johansen
Roman Josi
Brandon Saad
Ivan Barbashev
Johnny Gaudreau
Andrew Mangiapane
Jonathan Huberdeau
Gabriel Landeskog
Devon Toews
Alex Ovechkin
Brayden Point
Steven Stamkos
Aleksander Barkov
Reilly Smith
Adrian Kempe
Yanni Gourde
Calle Jarnkrok
Jack Hughes
==================================NEW_WEEK====================================
Alex DeBrincat
Gabriel Landeskog
Ondrej Palat
Chris Kreider
Jordan Kyrou
Trevor Zegras
Kirill Kaprizov
Jonathan Marchessault
Troy Terry
Ilya Mikheyev
Sonny Milano
Aleksander Barkov
Pierre-Luc Dubois
Mark Scheifele
Evgeny Kuznetsov
Teuvo Teravainen
Zemgus Girgensons
James van Riemsdyk
Patric Hornqvist
Joe Thornton
Oliver Bjorkstrand
Andrei Svechnikov
Travis Boyd
Nick Ritchie
Bowen Byram
Pat Maroon
Brayden Schenn
Brad Marchand
Filip Forsberg
Denis Gurianov
Evan Rodrigues
Nico Sturm
Matt Duchene
Jesper Bratt
Roman Josi
Corey Perry
Taylor Hall
Ryan O'Reilly
Johan Larsson
Filip Hronek
==================================NEW_WEEK====================================
Matt Duchene
David Pastrnak
Nathan MacKinnon
Marcus Johansson
Patrick Kane
Brad Marchand
Josh Norris
Tyler Bertuzzi
Cam Atkinson
Josh Bailey
Alex Ovechkin
Keegan Kolesar
Mika Zibanejad
Steven Stamkos
Sam Bennett
Zack Kassian
Mike Hoffman
Sam Reinhart
Auston Matthews
Alex Pietrangelo
Timo Meier
Tom Wilson
Robby Fabbri
Anthony Duclair
Bo Horvat
Pavel Buchnevich
Jeff Skinner
Evgeni Malkin
Calle Jarnkrok
Elias Pettersson
Gustav Nyquist
Vinnie Hinostroza
Sebastian Aho
Dustin Brown
Nathan Bastian
Nikita Kucherov
Brayden Point
Jason Robertson
==================================NEW_WEEK====================================
Timo Meier
Evan Bouchard
Sidney Crosby
Tage Thompson
Mikko Rantanen
David Pastrnak
Brayden Schenn
Kyle Connor
Chris Kreider
Jason Robertson
Roope Hintz
==================================NEW_WEEK====================================
Dylan Strome
Gabriel Landeskog
Bryan Rust
Jonathan Dahlen
Mika Zibanejad
Mitchell Marner
Oliver Wahlstrom
Tyler Toffoli
Charlie Coyle
Brock Boeser
Taylor Hall
Pierre-Luc Dubois
Kyle Okposo
Mathew Barzal
Sebastian Aho
J.T. Miller
Sidney Crosby
Mikko Rantanen
Evgeni Malkin
Troy Terry
Shayne Gostisbehere
Chris Kreider
Derek Grant
Cale Makar
Elias Lindholm
Sean Monahan
Clayton Keller
Nate Schmidt
Cam Fowler
William Nylander
Charlie McAvoy
Alex Killorn
Damon Severson
Jared McCann
Roope Hintz
Mats Zuccarello
Moritz Seider
Joel Eriksson Ek
Yanni Gourde
Filip Zadina
Jesper Bratt
Kris Letang
Jake Guentzel
John Carlson
Matt Duchene
Boone Jenner
Nazem Kadri
Viktor Arvidsson
Matt Boldy
Ryan O'Reilly
Dylan Larkin
Tom Wilson
Vladimir Tarasenko
John Tavares
Artturi Lehkonen
Alex Iafallo
Drake Batherson
==================================NEW_WEEK====================================
Bryan Rust
David Pastrnak
Chris Kreider
Alex Killorn
Logan Couture
Connor McDavid
Frederick Gaudreau
Sam Reinhart
Aleksander Barkov
Dmitry Orlov
Artemi Panarin
Anthony Beauvillier
Auston Matthews
Jonathan Marchessault
Evgeni Malkin
Nick Paul
Filip Forsberg
==================================NEW_WEEK====================================
Patrik Laine
Brock Boeser
Dylan Strome
Jason Robertson
Auston Matthews
Mark Scheifele
Kyle Connor
Anthony Beauvillier
Alex DeBrincat
Noah Dobson
Jesse Puljujarvi
Rickard Rakell
Vincent Trocheck
Tage Thompson
Andrew Mangiapane
Sebastian Aho
Oliver Kylington
Oliver Bjorkstrand
Andrei Svechnikov
Evgeny Kuznetsov
Ondrej Kase
Blake Wheeler
Keith Yandle
Sidney Crosby
David Pastrnak
Bo Horvat
Nicklas Backstrom
Pierre-Luc Dubois
Cole Caufield
Leon Draisaitl
Nico Hischier
Pavel Zacha
David Perron
Moritz Seider
Dylan Larkin
Matt Duchene
==================================NEW_WEEK====================================
Andrei Svechnikov
Joel Eriksson Ek
Joe Pavelski
Timo Meier
Evander Kane
Adam Henrique
Adrian Kempe
Matt Boldy
Joe Snively
Matthew Tkachuk
Jean-Gabriel Pageau
Kyle Okposo
Gerry Mayhew
Philipp Kurashev
Mitchell Marner
Sonny Milano
Elias Pettersson
Mikko Rantanen
Max Pacioretty
Rickard Rakell
Aaron Ekblad
Alex Ovechkin
Boone Jenner
Kyle Palmieri
Mika Zibanejad
Sebastian Aho
Elias Lindholm
Artemi Panarin
Nick Schmaltz
